"Codigo";"Descripcion"
"DIA  ";"Diapositivas"
"VBR  ";"Vídeo (Blu-Ray)"
"LIB  ";"Libro"
"CDA  ";"Audio (CD)"
"DVV  ";"Vídeo (DVD)"
"PPE  ";"Publicación periódica"
"CDR  ";"Recurso electrónico (CD)"
"FOL  ";"Folleto"
"MAP  ";"Material cartográfico"
"MUI  ";"Música impresa"
"MFD  ";"Microformas"
"MGN  ";"Grabados y carteles"
"CAA  ";"Audio (Casete)"
"VIA  ";"Audio (Vinilo)"
"OTA  ";"Audio (otros)"
"VHV  ";"Vídeo (VHS)"
"ÓTV  ";"Vídeo (otros)"
"DVR  ";"Recurso electrónico (DVD)"
"DIR  ";"Recurso electrónico (Disquete)"
"OTR  ";"Recurso electrónico (otros)"
"OTS  ";"Otro soporte"
"1    ";"0"
