"Biblioteca";"Sucursal";"Descripcion"
"BPM   ";"BP02  ";"MONCLOA-ARAVACA. BP Acuña"
"BPM   ";"BP03  ";"SAN BLAS. BP Canillejas (cerrada)"
"BPM   ";"BP04  ";"CARABANCHEL. BP Luis Rosales"
"BPM   ";"BP05  ";"CHAMBERÍ. BP José Luis Sampedro"
"BPM   ";"BP06  ";"CENTRO. BP Pedro Salinas"
"BPM   ";"BP08  ";"FUENCARRAL-EL PARDO. BP Rafael Alberti"
"BPM   ";"BP09  ";"HORTALEZA. BP Hortaleza"
"BPM   ";"BP10  ";"LATINA. BP Antonio Mingote"
"BPM   ";"BP11  ";"SALAMANCA. BPE Manuel Alvar"
"BPM   ";"BP12  ";"CIUDAD LINEAL. BP Ciudad Lineal"
"BPM   ";"BP13  ";"MORATALAZ. BP Moratalaz"
"BPM   ";"BP14  ";"PUENTE DE VALLECAS. BP Paco Rabal"
"BPM   ";"BP16  ";"RETIRO. BP Elena Fortún"
"BPM   ";"BP17  ";"CHAMBERÍ. BP Ruiz Egea"
"BPM   ";"BP18  ";"USERA. BP José Hierro"
"BPM   ";"BP19  ";"PUENTE DE VALLECAS. BP Miguel Hernández"
"BPM   ";"BP20  ";"VILLA DE VALLECAS. BP Luis Martín Santos"
"BPM   ";"BP21  ";"VILLAVERDE. BP María Moliner"
"BPM   ";"BP01  ";"Unidad Central"
"BPM   ";"BCDI11";"BPM. Biblioteca 11"
"BPM   ";"BCDIP ";"VICÁLVARO. BP Francisco Ayala"
"BPM   ";"BCDIA ";"HORTALEZA. BP Huerta de la Salud"
"BPM   ";"BCDIB ";"CARABANCHEL. BP Ana Mª Matute"
"BPM   ";"BCDEPO";"BPM Depósito General BB.PP."
"BPM   ";"BCDI10";"BPM Biblioteca 10"
"BPM   ";"BCDI2 ";"TETUÁN. BP Vázquez Montalbán"
"BPM   ";"BCDI3 ";"LATINA. BP Ángel González"
"BPM   ";"BCDI4 ";"CENTRO. BP Iván de Vargas"
"BPM   ";"BCDI5 ";"RETIRO. BP Eugenio Trías"
"BPM   ";"BCDI6 ";"BPM Biblioteca 6"
"BPM   ";"BCDI7 ";"CENTRO. BP Vargas LLosa"
"BPM   ";"BCDIY ";"VILLA DE VALLECAS. BP Gerardo Diego"
"BPM   ";"BCDIZ ";"CHAMARTÍN. BP Dámaso Alonso"
"BPM   ";"BCDI8 ";"HORTALEZA. BP María Lejárraga"
"BPM   ";"BCDI9 ";"BPM Biblioteca 9"
"BPM   ";"BCDICL";"BPM Club de Lectura"
"BPM   ";"BCDIC ";"SAN BLAS. BP Canillejas"
"BPM   ";"BCDID6";"BPM Despachos U. Central"
"BPM   ";"BCDID ";"CIUDAD LINEAL. BP La Elipa"
"BPM   ";"BCDIE ";"VICÁLVARO. BP Vicálvaro"
"BPM   ";"BCDIF ";"CHAMARTÍN. BP Francisco Ibañez"
"BPM   ";"BCDIG ";"BARAJAS. BP Gloria Fuertes"
"BPM   ";"BCDIH ";"MORATALAZ. BP Miguel Delibes"
"BPM   ";"BCDII ";"USERA. BP García Márquez"
"BPM   ";"BCDIJ ";"PUENTE DE VALLECAS. BP Portazgo"
"BPM   ";"BCDIK ";"LATINA. BP Aluche"
"BPM   ";"BCDIL ";"CIUDAD LINEAL. BP Pablo Neruda"
"BPM   ";"BCDIM ";"CARABANCHEL. BP La Chata"
"BPM   ";"BCDIN ";"SALAMANCA. BP Buenavista"
"BPM   ";"BCDIO ";"SAN BLAS. BP San Blas"
"BPM   ";"BCDIQ ";"PUENTE DE VALLECAS. BP Pozo Tío Raimundo"
"BPM   ";"BCDIR ";"FUENCARRAL-EL PARDO. BP José Saramago"
"BPM   ";"BCDIS ";"CIUDAD LINEAL. BP Ciudad Lineal"
"BPM   ";"BCDIT ";"TETUÁN. BP María Zambrano"
"BPM   ";"BCDIU ";"ARGANZUELA. BP Pío Baroja"
"BPM   ";"BCDIV ";"PUENTE DE VALLECAS. BP Vallecas"
"BPM   ";"BCDIW ";"SAN BLAS. BP José Hierro"
"BPM   ";"BCDIX ";"CENTRO. BP Benito Pérez Galdós"
"BPM   ";"BPM   ";"Bibliotecas Públicas Municipales de Madrid"
